Index,名前,"目的軸：０Ｃ（CAREER：キャリア・成果）ー　１０L（LIFE：生活・経験）","スタンス軸：０A（ADVENTURE：刺激・挑戦）ー　１０S（STABILITY：安心・安定）","環境軸：０U（Urban：都市・トレンド）ー　１０N（Nature：地方・自然・伝統）","行動軸：０I（Indevidual：個人・自立）ー　１０T（Team：繋がり・集団）",
0,海外就職,0,0,3,3,
1,将来の夢への直結度,0,3,5,5,
2,世界ランキング,0,4,2,5,
3,大学の知名度,1,5,2,6,
4,学問の専門性,0,4,5,2,
5,批判的思考力,2,3,5,2,
6,成績,6,3,5,5,
7,実践型,2,2,4,7,
8,評価方法,1,5,5,4,
9,準備・計画努力型,2,6,5,1,
10,大学院進学率,0,5,4,4,
11,挫折経験,5,0,5,2,
12,留学スタイル（正規・交換）,2,4,5,5,
13,留学期間,4,3,5,5,
14,就職率,0,9,4,6,
15,キャリアの汎用性の高さ,1,8,4,5,
16,資格,0,9,5,2,
17,前例の多さ,3,10,5,7,
18,コスパ・タイパ,3,8,4,3,
19,英語力,2,7,4,5,
20,言語の学びやすさ,4,9,5,6,
21,学費,4,9,5,4,
22,物価,5,8,6,5,
23,現地での収入源,4,7,3,5,
24,奨学金,3,8,5,3,
25,学校のサポート,4,10,5,8,
26,ガクチカ,1,7,4,6,
27,地方,7,2,10,4,
28,街の雰囲気（歴史的・モダン）,8,6,8,6,
29,自然の近さ,9,5,10,5,
30,国際性,6,3,2,8,
31,多様性,7,2,2,8,
32,留学先の国民性,8,5,5,7,
33,英語のアクセント,5,3,5,5,
34,アルバイト,5,4,3,7,
35,課外活動,6,4,4,9,
36,スポーツ,7,5,5,9,
37,現地の友人関係,9,4,5,10,
38,精神的成長,5,1,5,2,
39,キャラ変（から破り）,8,1,4,3,
40,芸術,7,4,2,4,
41,都市,6,5,0,6,
42,部活,7,5,5,10,
43,日本人の少なさ,6,0,6,1,
44,治安の良さ,5,10,5,5,
45,衛生面・綺麗さ,6,9,4,5,
46,医療技術,5,10,4,5,
47,気候の快適さ,7,8,5,5,
48,住居（寮・シェアハウス・ホームステイ）,6,8,5,8,
49,施設の充実度,5,8,3,5,
50,日本からの距離,6,8,5,6,
51,日本との時差,6,8,5,6,
52,家族や恋人との連絡頻度,7,9,5,8,
53,親日性,8,9,5,7,
54,日本との政治的関係,5,8,5,5,
55,食の豊かさ,9,7,3,7,
56,娯楽,10,6,1,8,
57,ナイトライフ,10,3,0,9,
58,私生活と勉強のバランス,9,8,5,6,
59,クラス規模,4,7,5,7,
60,教授との距離,3,7,5,7,
61,移動手段,6,8,2,5,
